idFechaConstruccion,sigla,nombreAeropuerto,categoria,tipo,departamento,municipio,latitud,longitud,propietario,longitudPista,anchoPista,pbmo,elevacion
2012-10,9DO,TALANQUERA,Aeródromo,Fumigación,Meta,Puerto López,4.141,-73.032,FERNANDO TOVAR TAMAYO,740,10,2000,179
2012-10,9LG,VILLA GEORGINA,Aeródromo,Fumigación,Casanare,Tauramena,4.3625,-74.3214,SANTIAGO PULIDO NIÑO,710,10,2000,594
2013-6,9LH,INGENIO PICHICHI,Aeródromo,Fumigación,Valle del Cauca,Guacarí,3.5347,-76.1653,INGENIO PICHICHI S.A.,340,10,500,3215
2012-8,9LI,SAN SEBASTIAN,Aeródromo,Fumigación,Meta,Cabuyaro,4.3356,-72.7803,NELLY ZARATE,740,10,2000,680
2013-5,9LJ,EL COROZO,Aeródromo,Fumigación,Arauca,Arauca,6.9136,-70.8562,NEBIO ECHEVERRY,750,10,2000,416
2013-5,9LK,HATO VIEJO,Aeródromo,Fumigación,Arauca,Arauca,6.8964,-70.7791,COMERCIALIZADORA EL PROVEEDOR LTDA.,750,10,2000,416
2012-9,9LN,GUADUALITO,Aeródromo,Fumigación,Casanare,Nunchía,5.4593,-71.912,CUPERTINO CUEVAS D.,700,10,3000,639
2013-6,9LP,LA REDENCION,Aeródromo,Privado,Casanare,Pore,5.6618,-71.8088,MARIA DEL S. MONTOYA,750,10,2000,636
2012-9,9LQ,LA PONDEROSA,Aeródromo,Privado,Meta,Puerto Gaitán,4.6316,-71.2141,MONICA COLOMBIA LTDA.,1200,18,3000,537
2009-8,9LR,LOS REMANSOS,Aeródromo,Fumigación,Santander,Cimitarra,6.5729,-74.2195,NELLY VALENCIA,700,10,3000,357
2012-12,9LS,SAN LUIS,Aeródromo,Fumigación,Norte de Santander,La Esperanza,7.6382,-73.4381,CRIAGAN S.A.,770,10,2000,308
2013-5,9LT,LOS GAVANES (LA MATA),Aeródromo,Fumigación,Arauca,Arauca,7.0093,-70.7743,FUMIGAR,760,12,3000,416
2012-10,9LU,EL RODEO,Aeródromo,Fumigación,Casanare,Tauramena,4.5772,-72.6914,JEREMIAS VACA RIAÑO,800,10,2000,746
2013-2,9LW,EL PALMAR,Aeródromo,Fumigación,Casanare,Nunchía,5.396,-71.9116,MAURICIO MEDINA NIÑO,700,10,3000,629
2013-4,9LX,LA GAITANA,Aeródromo,Fumigación,Meta,Cabuyaro,4.2253,-73.0298,P.VICENTE PERALES,800,10,4500,627
2013-9,9LY,SAN ISIDRO II,Aeródromo,Fumigación,Meta,Cumaral,4.1585,-73.3408,MARIA A PACHE OCHOA,890,10,2000,175
2012-11,9MA,EL DELIRIO,Aeródromo,Fumigación,Arauca,Arauca,6.9831,-70.882,CARMEN A. CABEZAS PEREZ,800,10,3000,430
2011-9,9MC,LA MONICA,Aeródromo,Fumigación,Casanare,Tauramena,4.6856,-72.6005,MAURICIO TORRES CUBIDES,840,10,2000,554
2011-9,9MD,LA ABEJITA,Aeródromo,Fumigación,Casanare,Monterrey,5.0095,-72.3234,JOSE A. VARGAS P.,840,10,2000,682
